Country,DateRep,ConfirmedCases,Deaths,Recovered,Continent,Code
Sri Lanka,2020-02-09,1,0,1,Asia,LKA
Sweden,2020-02-09,1,0,0,Europe,SWE
Taiwan,2020-02-09,18,0,1,Asia,TWN
Thailand,2020-02-09,32,0,10,Asia,THA
United Kingdom,2020-02-09,3,0,0,Europe,GBR
United Arab Emirates,2020-02-09,7,0,0,Asia,ARE
United States,2020-02-09,12,0,3,Americas,USA
Vietnam,2020-02-09,13,0,1,Asia,VNM
Australia,2020-02-10,15,0,2,Oceania,AUS
Belgium,2020-02-10,1,0,0,Europe,BEL
Cambodia,2020-02-10,1,0,0,Asia,KHM
Canada,2020-02-10,7,0,0,Americas,CAN
Finland,2020-02-10,1,0,0,Europe,FIN
France,2020-02-10,11,0,0,Europe,FRA
Germany,2020-02-10,14,0,0,Europe,DEU
Hong Kong SAR China,2020-02-10,38,1,0,Asia,HKG
India,2020-02-10,3,0,0,Asia,IND
Italy,2020-02-10,3,0,0,Europe,ITA
Japan,2020-02-10,26,0,4,Asia,JPN
Macao SAR China,2020-02-10,10,0,1,Asia,MAC
China,2020-02-10,42306,1011,3917,Asia,CHN
Malaysia,2020-02-10,18,0,1,Asia,MYS
Nepal,2020-02-10,1,0,0,Asia,NPL
Others,2020-02-10,135,0,0,Outro,NA
Philippines,2020-02-10,3,1,0,Asia,PHL
Russia,2020-02-10,2,0,0,Europe,RUS
Singapore,2020-02-10,45,0,2,Asia,SGP
South Korea,2020-02-10,27,0,3,Asia,KOR
Spain,2020-02-10,2,0,0,Europe,ESP
Sri Lanka,2020-02-10,1,0,1,Asia,LKA
Sweden,2020-02-10,1,0,0,Europe,SWE
Taiwan,2020-02-10,18,0,1,Asia,TWN
Thailand,2020-02-10,32,0,10,Asia,THA
United Kingdom,2020-02-10,8,0,0,Europe,GBR
United Arab Emirates,2020-02-10,8,0,0,Asia,ARE
United States,2020-02-10,12,0,3,Americas,USA
Vietnam,2020-02-10,14,0,1,Asia,VNM
Australia,2020-02-11,15,0,2,Oceania,AUS
Belgium,2020-02-11,1,0,0,Europe,BEL
Cambodia,2020-02-11,1,0,0,Asia,KHM
Canada,2020-02-11,7,0,0,Americas,CAN
Finland,2020-02-11,1,0,0,Europe,FIN
France,2020-02-11,11,0,0,Europe,FRA
Germany,2020-02-11,16,0,0,Europe,DEU
Hong Kong SAR China,2020-02-11,49,1,0,Asia,HKG
India,2020-02-11,3,0,0,Asia,IND
Italy,2020-02-11,3,0,0,Europe,ITA
Japan,2020-02-11,26,0,9,Asia,JPN
Macao SAR China,2020-02-11,10,0,1,Asia,MAC
China,2020-02-11,44327,1111,4635,Asia,CHN
